"","model","MAPE","SDMAPE","width","p.in","absmax","meanbias"
"1","mdj ~ amatc",4,3.05,6.66,0.53,12,-3.73
"2","mdj ~ msstc",1.67,1.54,4.74,0.73,5,-0.73
"3","mdj ~ pice",2.33,2.16,6,0.73,8,-1.93
"4","mdj ~ amatc + msstc",2.07,1.62,6.37,0.8,7,-1.53
"5","mdj ~ amatc + pice",2.87,2.17,7.63,0.67,9,-2.47
"6","mdj ~ msstc + pice",1.53,1.3,6.19,0.87,5,-0.87
"7","mdj ~ amatc + msstc + pice",1.67,1.4,7.55,0.87,6,-1.13
