day,date,pccpue
-10,2016-05-21,0.10820338565269712
-9,2016-05-22,0.1369442559010664
-8,2016-05-23,0.17330600135771002
-7,2016-05-24,0.21930139662431966
-6,2016-05-25,0.2774700351011079
-5,2016-05-26,0.3510133478685796
-4,2016-05-27,0.4439625031410056
-3,2016-05-28,0.5613861505115051
-2,2016-05-29,0.7096457994243204
-1,2016-05-30,0.8967070935352258
0,2016-05-31,1.1325149688507408
1,2016-06-01,1.4294390301577096
2,2016-06-02,1.8027914679699129
3,2016-06-03,2.2714120197575296
4,2016-06-04,2.858300828939022
5,2016-06-05,3.59125794316331
6,2016-06-06,4.503454595048954
7,2016-06-07,5.633813619081409
8,2016-06-08,7.027013630903761
9,2016-06-09,8.732858207301595
10,2016-06-10,10.804681364987536
11,2016-06-11,13.296424019782929
12,2016-06-12,16.258062696595644
13,2016-06-13,19.72926746229914
14,2016-06-14,23.731570575102467
15,2016-06-15,28.25994569205397
16,2016-06-16,33.27541328378669
17,2016-06-17,38.70082040800134
18,2016-06-18,44.42190108435584
19,2016-06-19,50.29480790438262
20,2016-06-20,56.15959111035597
21,2016-06-21,61.85717816415783
22,2016-06-22,67.24615808988254
23,2016-06-23,72.21574651834707
24,2016-06-24,76.69266110825122
25,2016-06-25,80.64157784593317
26,2016-06-26,84.06049164725913
27,2016-06-27,86.9731281042451
28,2016-06-28,89.42052049292771
29,2016-06-29,91.4532984595939
30,2016-06-30,93.12551884268689
31,2016-07-01,94.49026940644113
32,2016-07-02,95.59689425115619
33,2016-07-03,96.48951195235922
34,2016-07-04,97.20646201080835
35,2016-07-05,97.78035704869296
36,2016-07-06,98.23848951044292
37,2016-07-07,98.60341437591183
38,2016-07-08,98.8935907050449
39,2016-07-09,99.12401111904569
40,2016-07-10,99.30678063677544
41,2016-07-11,99.4516274179276
42,2016-07-12,99.56634092271425
43,2016-07-13,99.65714035468477
44,2016-07-14,99.72897997326606
45,2016-07-15,99.78579934059353
46,2016-07-16,99.83072674257531
47,2016-07-17,99.86624350211457
48,2016-07-18,99.89431605677993
49,2016-07-19,99.91650172420546
50,2016-07-20,99.9340331481457
